seed,final_position_error_m,mean_innovation,max_innovation,refusal_rate
0,6.081549456926748,,44.519990399090254,0.0
1,2.6386545792609146,,47.46958510786374,0.0
2,2.2718372609370774,,46.42869312875518,0.0
3,3.0464527099010574,,,0.0
4,2.3013480259086783,,47.820438052945946,0.0
5,2.387776764428551,,,0.0
6,0.8667660262443688,,49.088114044707176,0.0
7,5.78608010000963,,47.553484979470596,0.0
8,4.416449864150426,,58.855882058002145,0.0
9,2.996015419707412,,,0.0
10,2.393752912071498,,,0.0
11,1.4320469984353843,,45.76306479370788,0.0
12,4.2208087652416895,,41.528655623954094,0.0
13,1.5549011614748074,,,0.0
14,1.413388725797352,,50.5323316434838,0.0
15,2.7255107400364063,,,0.0
16,1.7523040337641793,,,0.0
17,2.1899623314394994,,57.65898363359901,0.0
18,3.7127604044794396,,59.548392742851064,0.0
19,2.2136902472907805,,54.173944382619396,0.0
20,2.8263431992076393,,59.35621707092114,0.0
21,3.6767375669693814,,45.906749986636825,0.0
22,1.1730481119678928,,40.93342221002714,0.0
23,4.31956840756636,,53.39084550329816,0.0
24,2.6983419726099958,,56.05561496442193,0.0
25,2.21372074772145,,51.602522350447245,0.0
26,2.219715080793743,,55.762059936156575,0.0
27,2.767114502523208,,56.06928100912506,0.0
28,1.8770143206033028,,49.61665451936743,0.0
29,3.0093135409462413,,43.3133593765641,0.0
30,3.0823001561541368,,,0.0
31,3.8888016764888973,,,0.0
32,2.154662239654352,,,0.0
33,0.5467409113605312,,47.31756395064606,0.0
34,2.3153864747069144,,58.74602985077345,0.0
35,3.4457474610524033,,57.48349876959051,0.0
36,2.578750351951101,,43.61651563960068,0.0
37,1.9042082377272511,,42.06192338953415,0.0
38,2.9748211477768556,,46.178957331241314,0.0
39,2.256750295868099,,54.95564227394623,0.0
40,4.212539456753933,,52.07438396012546,0.0
41,2.4745909763252105,,46.52644522884001,0.0
42,2.6518768259815975,,,0.0
43,2.873067166035542,,,0.0
44,1.8180460564709873,,48.76407329768218,0.0
45,1.9771299679806984,,47.429533138818094,0.0
46,2.341302880453341,,51.28251595742739,0.0
47,3.849056270079704,,50.576856954476376,0.0
48,3.0684349522230807,,,0.0
49,1.7179815057863106,,61.495224421434145,0.0
